n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001A;Alençon | Place du Maréchal Ferdinand Foch ; Place du Maréchal Ferdinand Foch 61000 Alençon;;0.083524;48.430157;2;FR*S61*E61001A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001A;Alençon | Place du Maréchal Ferdinand Foch ; Place du Maréchal Ferdinand Foch 61000 Alençon;;0.083524;48.430157;2;FR*S61*E61001A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001B;Alençon | Place du Général Jean Bonet 13;13 Place du Général Jean Bonet 61000 Alençon;;0.093636;48.431973;2;FR*S61*E61001B12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001B;Alençon | Place du Général Jean Bonet 13;13 Place du Général Jean Bonet 61000 Alençon;;0.093636;48.431973;2;FR*S61*E61001B11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001C;Alençon | Boulevard de la République 83;83 Boulevard de la République 61000 Alençon;;0.093314;48.427140;2;FR*S61*E61001C12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001C;Alençon | Boulevard de la République 83;83 Boulevard de la République 61000 Alençon;;0.093314;48.427140;2;FR*S61*E61001C11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001D;Alençon | Rue de la Poterne 28;28 Rue de la Poterne 61000 Alençon;;0.089870;48.429810;2;FR*S61*E61001D11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001D;Alençon | Rue de la Poterne 28;28 Rue de la Poterne 61000 Alençon;;0.089870;48.429810;2;FR*S61*E61001D12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001E;Alençon | Place du Commandant Daniel Desmeulles 77;77 Place du Commandant Daniel Desmeulles 61000 Alençon;;0.085805;48.432650;2;FR*S61*E61001E12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001E;Alençon | Place du Commandant Daniel Desmeulles 77;77 Place du Commandant Daniel Desmeulles 61000 Alençon;;0.085805;48.432650;2;FR*S61*E61001E11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001F;Alençon | Rue des Tisons ; Rue des Tisons 61000 Alençon;;0.090356;48.425705;2;FR*S61*E61001F12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001F;Alençon | Rue des Tisons ; Rue des Tisons 61000 Alençon;;0.090356;48.425705;2;FR*S61*E61001F11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001G;Alençon | Place de la Résistance 23;23 Place de la Résistance 61000 Alençon;;0.098523;48.433575;2;FR*S61*E61001G11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001G;Alençon | Place de la Résistance 23;23 Place de la Résistance 61000 Alençon;;0.098523;48.433575;2;FR*S61*E61001G12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001H;Alençon | Place du Point du Jour ; Place du Point du Jour 61000 Alençon;;0.105902;48.434960;2;FR*S61*E61001H11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61001H;Alençon | Place du Point du Jour ; Place du Point du Jour 61000 Alençon;;0.105902;48.434960;2;FR*S61*E61001H12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006A;Argentan | Place Mahé ; Place Mahé 61200 Argentan;;-0.017870;48.743440;2;FR*S61*E61006A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006A;Argentan | Place Mahé ; Place Mahé 61200 Argentan;;-0.017870;48.743440;2;FR*S61*E61006A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006B;Argentan | Place du Général Leclerc ; Place du Général Leclerc 61200 Argentan;;-0.025132;48.740788;2;FR*S61*E61006B11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006B;Argentan | Place du Général Leclerc ; Place du Général Leclerc 61200 Argentan;;-0.025132;48.740788;2;FR*S61*E61006B12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006C;Argentan | Place Robert Aubin ; Place Robert Aubin 61200 Argentan;;-0.023866;48.745026;2;FR*S61*E61006C12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006C;Argentan | Place Robert Aubin ; Place Robert Aubin 61200 Argentan;;-0.023866;48.745026;2;FR*S61*E61006C11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006D;Argentan | Rue de la Picardie ; Rue de la Picardie 61200 Argentan;;-0.029512;48.750603;4;FR*S61*E61006D11;22.000;T2 câble attaché;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006D;Argentan | Rue de la Picardie ; Rue de la Picardie 61200 Argentan;;-0.029512;48.750603;4;FR*S61*E61006D12;60.000;22;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006D;Argentan | Rue de la Picardie ; Rue de la Picardie 61200 Argentan;;-0.029512;48.750603;4;FR*S61*E61006D14;2.300;EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61006D;Argentan | Rue de la Picardie ; Rue de la Picardie 61200 Argentan;;-0.029512;48.750603;4;FR*S61*E61006D13;60.000;23;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61007A;Athis-Val de Rouvre | Rue Guillaume le Conquérant ; Rue Guillaume le Conquérant 61430 Athis-Val de Rouvre;;-0.500202;48.809170;2;FR*S61*E61007A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
